Docking Station Name,Docking Station ID,Docking Station Capacity,Latitude,Longitude
"Royal Avenue 1, Chelsea",250,20,51.4899,-0.162727
"Brushfield Street, Liverpool Street",251,34,51.5189,-0.079249
"Jubilee Gardens, South Bank",252,30,51.5046,-0.116542
"Shoreditch Park, Hoxton",253,30,51.534,-0.0863797
"Chadwell Street, Angel",254,18,51.5305,-0.106408
"Clifton Road, Maida Vale",255,22,51.5256,-0.179593
"Houghton Street, Strand",256,15,51.5136,-0.116764
"Westminster University, Marylebone",257,16,51.5225,-0.154907
"Kensington Gore, Knightsbridge",258,23,51.5014,-0.178657
"Bourne Street, Belgravia",259,16,51.5049,-0.123248
"Broadwick Street, Soho",260,18,51.5137,-0.135581
"Princes Square, Bayswater",261,15,51.5135,-0.191351
"LSBU (Borough Road), Elephant & Castle",262,35,51.4987,-0.103133
"St. Mary Axe, Aldgate",263,21,51.5142,-0.0806601
"Tysoe Street, Clerkenwell",264,20,51.5264,-0.109257
"Southwick Street, Paddington",265,17,51.516,-0.169249
"Queen's Gate (North), Kensington",266,41,51.501,-0.180246
"Regency Street, Westminster",267,22,51.4921,-0.132225
"Belgrave Road, Victoria",268,29,51.4932,-0.144133
"Empire Square, The Borough",269,46,51.5008,-0.0897408
"Kennington Lane Rail Bridge, Vauxhall",270,31,51.4863,-0.122492
"London Zoo,  The Regent's Park",271,20,51.5358,-0.156285
"Baylis Road, Waterloo",272,22,51.5014,-0.110699
"Belvedere Road 1, South Bank",273,38,51.5061,-0.114686
"Warwick Road, Olympia",274,36,51.4967,-0.205284
"Barbican Centre, Barbican",275,19,51.52,-0.0921764
"Lower Thames Street, Monument",276,24,51.5093,-0.0849854
"Kensington Church Street, Kensington",277,17,51.5032,-0.191496
"Tooley Street, Bermondsey",278,17,51.5035,-0.079621
"North Wharf Road, Paddington",279,25,51.5186,-0.176646
"Royal Avenue 2, Chelsea",280,10,51.49026329,-0.162418016
"Smith Square, Westminster",281,18,51.4958,-0.127575
"Royal London Hospital, Whitechapel",282,42,51.5191,-0.0596421
"Kingsway, Covent Garden",283,16,51.5144,-0.118479
"Lambeth North Station, Waterloo",284,20,51.4991,-0.112031
"St. John's Wood Road, St. John's Wood",286,35,51.5273,-0.174654
"Bedford Way, Bloomsbury",287,23,51.5237,-0.128378
"Elizabeth Bridge, Victoria",288,34,51.4924,-0.147479
"South Audley Street, Mayfair",289,15,51.5092,-0.151296
"St Mary's Hospital, Paddington",290,31,51.518268,-0.1711032
"Claverton Street, Pimlico",291,32,51.4848,-0.138089
"Montpelier Street, Knightsbridge",292,16,51.4989,-0.165472
"Kensington Olympia Station, Olympia",293,25,51.4982,-0.209494
"St. George's Square, Pimlico",294,16,51.4882,-0.135636
"Swan Street, The Borough",295,27,51.5003,-0.0927627
"Knaresborough Place, Earl's Court",296,18,51.4936,-0.190603
"Geraldine Street, Elephant & Castle",297,17,51.4961,-0.106001
"Curlew Street, Shad Thames",298,21,51.5023,-0.0741892
"Vincent Square, Westminster",299,19,51.494,-0.136929
"Serpentine Car Park, Hyde Park",300,16,51.505,-0.17273
"Marylebone Lane, Marylebone",301,24,51.5148,-0.148105
"Putney Pier, Wandsworth",302,28,51.4669,-0.216573
"Albert Gate, Hyde Park",303,34,51.503,-0.158456
"Rathbone Street, Fitzrovia",306,16,51.5182,-0.135026
"Black Lion Gate, Kensington Gardens",307,24,51.5099,-0.187843
"Long Lane , Bermondsey",308,20,51.4991,-0.0856663
"Embankment (Savoy), Strand",309,41,51.5096,-0.119048
"Black Prince Road, Vauxhall",310,19,51.4909,-0.116912
"Foley Street, Fitzrovia",311,24,51.5192,-0.140486
"Grove End Road, St. John's Wood",312,20,51.5309,-0.176771
"Wells Street, Fitzrovia",313,38,51.5173,-0.138073
"Tyers Gate, Bermondsey",314,36,51.5009,-0.0831594
"The Tennis Courts, The Regent's Park",315,16,51.5254,-0.153464
"Warwick Row, Westminster",316,21,51.497998,-0.1429606
"Dickens Square, Borough",317,32,51.4968,-0.0939135
"Sackville Street, Mayfair",318,18,51.51,-0.138846
"Baldwin Street, St. Luke's",319,21,51.527,-0.0885428
"Queen Mother Sports Centre, Victoria",320,26,51.4936,-0.139956
"Bermondsey Street, Bermondsey",321,24,51.4979,-0.081608
"Palissy Street, Shoreditch",322,26,51.5263,-0.073955
"Clifton Street, Shoreditch",323,24,51.5232,-0.083067
"Ontario Street, Elephant & Castle",324,15,51.4965,-0.101384
"St. Martin's Street, West End",325,18,51.5091,-0.129698
"Graham Street, Angel",326,26,51.5327,-0.0999811
"New North Road 1, Hoxton",327,44,51.5311,-0.086016
"New North Road 2, Hoxton",328,22,51.53111686,-0.085619093
"Prince Albert Road, The Regent's Park",329,24,51.5359,-0.160854
"Eastbourne Mews, Paddington",330,34,51.5164,-0.179135
"Bunhill Row, Moorgate",331,30,51.5209,-0.0898879
"Nevern Place, Earl's Court",332,20,51.4933,-0.194758
"Palace Gardens Terrace, Notting Hill",333,37,51.5086,-0.193764
"Concert Hall Approach 1, South Bank",334,10,51.50517754,-0.115915375
"Tavistock Street, Covent Garden",335,33,51.512,-0.120719
"Concert Hall Approach 2, South Bank",336,28,51.505,-0.115851
"Pembridge Villas, Notting Hill",337,16,51.5111,-0.197525
"Wellington Street , Strand",338,15,51.5118,-0.119643
"Risinghill Street, Angel",339,25,51.5333,-0.111781
"Bank of England Museum, Bank",340,16,51.5144,-0.0875874
"Craven Street, Strand",341,23,51.5081,-0.126021
"London Zoo Car Park, The Regent's Park",343,32,51.5369,-0.150181
"Goswell Road (City Uni), Finsbury",344,17,51.5282,-0.101026
"Flood Street, Chelsea",345,33,51.488,-0.166879
"Lower Marsh, Waterloo",347,17,51.5001,-0.113936
